0,1,2,3,lon,lat
129085,BP-000700-003,50029035,A,-117.0826037558026,32.91013450756617
129091,BP-000700-009,50029041,A,-117.08223507718397,32.910373397307076
129097,BP-000984-006,50029047,A,-117.09113480008352,32.699647079933136
129185,BP-000957-012,50029165,A,-117.11184362530285,32.712771023210394
129191,BP-000957-018,50029171,A,-117.11121381934305,32.713312654830276
129200,BP-000957-009,50029180,A,-117.11186145516506,32.71304952488652
129201,BP-000957-010,50029181,A,-117.11170133996278,32.713069877002894
129218,BP-000982-006,50029201,A,-117.06060856961226,32.69954709772729
129221,BP-000982-009,50029204,A,-117.05980865567105,32.69978805187262
129223,BP-000982-011,50029206,A,-117.05945160730795,32.69940738009776
129226,BP-000982-015,50029209,A,-117.0588425439184,32.699458794965494
129228,BP-000982-017,50029211,A,-117.0585983677453,32.699225568785174
129234,BP-000982-024,50029217,A,-117.0600438979484,32.69893639793083
129242,BP-000982-032,50029225,A,-117.06108501278136,32.69801405242735
129249,BP-000982-040,50029232,A,-117.06141566831684,32.6979278003417
129473,BP-000982-049,50029455,A,-117.06161319580465,32.6989821301358
129476,BP-000982-052,50029459,A,-117.06223333372812,32.69913685847547
129479,BP-000905-001,50029468,A,-117.17847282079506,32.74944965026056
129480,BP-000905-005,50029469,A,-117.17818070426085,32.74951005804092
129484,BP-000905-009,50029473,A,-117.17809324514451,32.74883645174189
129486,BP-000905-011,50029475,A,-117.17736855504403,32.748701227113436
129488,BP-000905-002,50029477,A,-117.17697572723274,32.74900978088129
129491,BP-001300-001,50029480,A,-117.06058505373564,32.767382421917375
129501,BP-001084-003,50029491,A,-117.0672137315548,32.58195006869246
129502,BP-001084-004,50029496,A,-117.06722894515798,32.58156918137738
129504,BP-001084-006,50029502,A,-117.06746769778101,32.58104401550297
129506,BP-001084-008,50029508,A,-117.06808753588537,32.58119856033197
129508,BP-000834-002,50029512,A,-117.17005075188936,32.79124369724338
129521,BP-000834-015,50029543,A,-117.16981203699007,32.792816595292265
129522,BP-000834-016,50029544,A,-117.16931751546579,32.792750760659196
129533,BP-000786-001,50029555,A,-117.1619351347223,32.81784421380189
129537,BP-000786-005,50029559,A,-117.16255323368532,32.81894552678196
129541,BP-000786-009,50029563,A,-117.16272713121964,32.81992814899686
129543,BP-000963-002,50029565,A,-117.0279044397511,32.709249833845384
129544,BP-000963-003,50029566,A,-117.0281975468868,32.70933552206818
129547,BP-000767-002,50029569,A,-117.17455016621768,32.84012614639979
129576,BP-000695-010,50029601,A,-117.13914812568227,32.914750343470644
129581,BP-000695-036,50029606,A,-117.14055492469426,32.91486815687447
129589,BP-000695-015,50029614,A,-117.13882080703884,32.91315803508278
129595,BP-000695-022,50029624,A,-117.14167064800253,32.91420335214147
129596,BP-000695-023,50029625,A,-117.141310438336,32.91458124230444
129619,BB-001224-001,50029657,A,-117.14238623616207,32.73973971752701
129630,BB-001224-006,50029668,A,-117.13947065394419,32.7399830412166
129633,BB-001224-009,50029671,A,-117.1408800757353,32.74034868008649
129638,BB-001224-015,50029676,A,-117.13843752366522,32.73994805568865
129639,BB-001224-016,50029677,A,-117.13798822070255,32.74019980920628
129641,BB-001224-018,50029679,A,-117.13777616933201,32.73979673487734
129643,BB-001224-020,50029681,A,-117.13776716249313,32.73890273873289
129652,BB-001224-030,50029690,A,-117.13995684058973,32.738235358025975
129656,BB-001224-034,50029694,A,-117.13996091962672,32.73686392981325
129659,BB-001224-038,50029697,A,-117.13907332467679,32.73663355525343
129661,BB-001224-040,50029699,A,-117.13786393570972,32.7367180332629
129664,BB-001224-043,50029702,A,-117.1377434034204,32.7381016644125
129670,BB-001224-050,50029708,A,-117.13587925840325,32.73882538862874
129671,BB-001224-051,50029709,A,-117.1359952163654,32.7392128662042
129672,BB-001224-052,50029710,A,-117.13606435358318,32.739401789321
129675,BB-001224-053,50029713,A,-117.13611088964771,32.73957193277523
129679,BB-001224-055,50029717,A,-117.13639550427004,32.740015024369804
129686,BB-001224-063,50029760,A,-117.14035443917103,32.736993684074726
129691,BB-001224-068,50029772,A,-117.14069678362114,32.739274070975675
129694,BB-001224-072,50029779,A,-117.14069862484244,32.73945622553436
129701,BB-001224-079,50029797,A,-117.14033585055347,32.73976810590548
129705,BB-001224-084,50029806,A,-117.14069836545859,32.73992647465656
129706,BB-001224-085,50029808,A,-117.14033250749101,32.73993335203436
129712,BB-001224-092,50029815,A,-117.14149382731496,32.739772452765
129714,BB-001224-094,50029818,A,-117.14121639209633,32.73910509632588
129722,BB-001224-003,50029826,A,-117.14143800431418,32.73920940671069
129724,BP-000793-001,50029828,A,-117.1814344661481,32.812728845702246
129728,BP-000793-005,50029833,A,-117.18092010916537,32.81201173151376
129729,BP-000793-006,50029834,A,-117.18044967346809,32.81180130538382
129739,BP-000975-018,50029853,A,-117.10765923282815,32.700658920090255
129742,BP-000975-004,50029860,A,-117.10788637041746,32.700864018783
129743,BP-000975-005,50029863,A,-117.10745420657243,32.69942027388864
129746,BP-000975-008,50029870,A,-117.10749552825531,32.69903926268885
129747,BP-000975-009,50029873,A,-117.1076251219183,32.69913626185164
129749,BP-000773-001,50029875,A,-117.196850021546,32.832736081732236
129751,BP-000773-009,50029882,A,-117.19695851066685,32.83217257033181
129752,BP-000773-010,50029885,A,-117.19676047775522,32.832156504940066
129759,BP-000773-003,50029910,A,-117.19821353472712,32.83073865769346
129760,BP-000773-004,50029913,A,-117.19795530097934,32.83093406131963
129763,BP-000934-001,50029921,A,-117.08304233470584,32.73291058947224
129764,BP-001146-001,50029922,A,-117.24605591624957,32.7439111246906
129771,BP-001147-006,50029935,A,-117.25182439966746,32.7528222405527
129789,BR-001226-013,50029956,A,-117.25717596751764,32.74936625560969
129791,BR-001226-015,50029958,A,-117.25771081829511,32.7497077439145
129796,BR-001226-020,50029963,A,-117.25896320825224,32.749921847389835
129797,BR-001226-021,50029964,A,-117.25918909696983,32.74945623781091
129808,BP-000780-021,50029979,A,-117.1709650961535,32.82594985048029
129811,BP-001296-001,50029986,A,-117.25760802367536,32.79764964582294
