,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist
221,1800.0,5.0,24.0,2.0,2.0,0.0,18.0,97472.0,32.7643897,-117.1194997,0.000184668417597,47.8024306689,94.302112332
222,4501.0,2.0,22.0,16.0,3.0,1.0,38.0,79565.0,32.7176437,-117.1392394,0.000477596933325,67.6580127231,115.19015151
223,19701.0,1.0,,,,,,,,,,,
224,8339.0,1.0,77.0,0.0,1.0,7.0,261.0,11791380.0,32.9028483,-117.2312349,2.21348137368e-05,,291.187878975
225,19806.0,1.0,,,,,,,,,,,
226,15602.0,1.0,,,,,,,,,,,
227,15501.0,2.0,,,,,,,,,,,
228,15301.0,2.0,,,,,,,,,,,
229,5900.0,1.0,27.0,4.0,1.0,1.0,48.0,156868.0,32.7292979,-117.1612051,0.000305989749343,46.0975547402,192.922090821
230,2708.0,1.0,5.0,0.0,0.0,2.0,25.0,165559.0,32.7552225,-117.0812058,0.000151003569724,,
231,18608.0,1.0,,,,,,,,,,,
232,17808.0,1.0,,,,,,,,,,,
233,15200.0,2.0,,,,,,,,,,,
234,18512.0,1.0,,,,,,,,,,,
235,20706.0,1.0,,,,,,,,,,,
236,20015.0,1.0,,,,,,,,,,,
237,8352.0,1.0,3.0,1.0,0.0,0.0,19.0,195389.0,32.9269424,-117.1339018,9.72419122878e-05,96.711012605,
238,13309.0,3.0,,,,,,,,,,,
239,21304.0,2.0,,,,,,,,,,,
240,20307.0,2.0,,,,,,,,,,,
241,20022.0,1.0,,,,,,,,,,,
242,19207.0,2.0,,,,,,,,,,,
243,18903.0,1.0,,,,,,,,,,,
244,13410.0,2.0,,,,,,,,,,,
245,16302.0,1.0,,,,,,,,,,,
246,17604.0,1.0,,,,,,,,,,,
247,13204.0,3.0,,,,,,,,,,,
248,9802.0,2.0,5.0,0.0,0.0,0.0,12.0,179947.0,32.8011558,-117.0094017,6.66863020778e-05,,
249,7600.0,3.0,83.0,21.0,5.0,12.0,316.0,1337168.0,32.7695739,-117.2435975,0.000236320342694,155.002452293,124.150365667
250,4600.0,1.0,36.0,2.0,10.0,2.0,65.0,195699.0,32.7169839,-117.1446108,0.000332142729396,76.0260676791,88.0059283057
251,2707.0,1.0,14.0,5.0,1.0,0.0,14.0,106482.0,32.7546896,-117.0905724,0.000131477620631,188.037644771,142.722713246
252,8346.0,1.0,76.0,1.0,5.0,6.0,359.0,9918449.0,32.9089362,-117.1935293,3.61951752739e-05,103.511306351,370.08036891
253,9506.0,2.0,10.0,0.0,0.0,4.0,41.0,444109.0,32.8253401,-117.100028,9.23196782772e-05,,
254,19503.0,3.0,,,,,,,,,,,
255,19809.0,1.0,,,,,,,,,,,
256,20029.0,1.0,,,,,,,,,,,
257,20109.0,1.0,,,,,,,,,,,
258,20109.0,2.0,,,,,,,,,,,
259,20214.0,1.0,,,,,,,,,,,
260,13206.0,2.0,,,,,,,,,,,
261,13409.0,1.0,,,,,,,,,,,
262,13414.0,2.0,,,,,,,,,,,
263,13414.0,4.0,,,,,,,,,,,
264,13419.0,2.0,,,,,,,,,,,
265,13421.0,1.0,,,,,,,,,,,
266,17022.0,1.0,9.0,0.0,0.0,4.0,49.0,383773.0,32.9098777,-117.0934329,0.000127679643956,,
267,17022.0,2.0,6.0,0.0,0.0,1.0,51.0,358423.0,32.9056758,-117.094796,0.000142289975811,,
268,17022.0,3.0,3.0,0.0,0.0,0.0,44.0,415072.0,32.9042955,-117.0913109,0.000106005705034,,
269,13104.0,2.0,,,,,,,,,,,
270,13309.0,5.0,,,,,,,,,,,
271,20903.0,1.0,,,,,,,,,,,
272,21302.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
273,8301.0,2.0,11.0,2.0,3.0,0.0,45.0,904892.0,32.8149109,-117.2357728,4.97296914991e-05,399.857867456,199.864212224
274,8301.0,3.0,9.0,0.0,0.0,0.0,13.0,462090.0,32.8216413,-117.2381666,2.81330476747e-05,,
275,8303.0,3.0,12.0,1.0,1.0,0.0,22.0,696025.0,32.8359294,-117.25347,3.16080600553e-05,316.25314202,322.141664661
276,8306.0,1.0,10.0,0.0,1.0,3.0,27.0,307760.0,32.8502103,-117.220299,8.77306992462e-05,,116.195006218
277,8306.0,2.0,3.0,0.0,0.0,0.0,44.0,508090.0,32.8428882,-117.2263389,8.65988309158e-05,,
278,8307.0,3.0,9.0,0.0,0.0,1.0,59.0,606648.0,32.8497895,-117.2079376,9.7255739737e-05,,
279,8310.0,1.0,8.0,0.0,0.0,0.0,22.0,1882087.0,32.8325156,-117.2391334,1.16891514579e-05,,
280,8311.0,1.0,23.0,0.0,0.0,1.0,45.0,1686336.0,32.8279798,-117.26378,2.66850734373e-05,,
281,1500.0,2.0,8.0,1.0,1.0,0.0,22.0,235005.0,32.7416744,-117.1202955,9.36150294675e-05,239.904339497,137.851493899
282,1500.0,3.0,6.0,0.0,0.0,0.0,15.0,190413.0,32.7419786,-117.1252525,7.87761339824e-05,,
283,1500.0,4.0,25.0,4.0,0.0,0.0,22.0,156693.0,32.7461279,-117.1266192,0.000140401932441,60.9259270818,
284,1600.0,1.0,52.0,33.0,0.0,5.0,46.0,201912.0,32.7524065,-117.1174,0.000227822021475,97.7854915005,
285,1600.0,2.0,32.0,7.0,6.0,3.0,31.0,150302.0,32.7527488,-117.1204973,0.00020625141382,85.5815157132,133.351515317
286,1600.0,3.0,22.0,7.0,2.0,1.0,29.0,153541.0,32.7522285,-117.1228434,0.000188874632834,117.027722152,105.15074378
287,1600.0,4.0,40.0,13.0,3.0,0.0,35.0,182416.0,32.7513473,-117.125062,0.000191869134286,89.3511916444,79.0088773744
288,1700.0,1.0,23.0,3.0,2.0,1.0,24.0,154005.0,32.7582998,-117.1166732,0.000155839096133,99.7182879142,59.531260044
289,1700.0,2.0,39.0,4.0,2.0,3.0,26.0,177636.0,32.7579589,-117.1194706,0.000146366727465,54.3988728122,102.262770132
290,1700.0,3.0,34.0,3.0,4.0,2.0,34.0,206755.0,32.7579716,-117.1227504,0.000164445841697,85.288707023,59.8065901563
291,1800.0,1.0,51.0,12.0,9.0,1.0,28.0,169457.0,32.7619822,-117.1119106,0.000165233658096,145.784983563,161.597335808
292,8311.0,2.0,10.0,0.0,0.0,2.0,49.0,825170.0,32.819888,-117.2623973,5.93817031642e-05,,
293,8313.0,2.0,17.0,1.0,1.0,0.0,57.0,1176452.0,32.8565232,-117.2431993,4.84507655221e-05,190.229649186,246.968617365
294,20806.0,1.0,,,,,,,,,,,
295,20806.0,2.0,,,,,,,,,,,
296,20806.0,3.0,,,,,,,,,,,
297,21000.0,2.0,,,,,,,,,,,
298,4000.0,2.0,48.0,13.0,11.0,4.0,37.0,140645.0,32.70693,-117.1273797,0.000263073696185,84.0789085938,143.579680069
299,10109.0,1.0,17.0,4.0,1.0,0.0,69.0,11049234.0,32.5494881,-117.0884184,6.24477678724e-06,66.484763382,119.005701563
300,17809.0,1.0,,,,,,,,,,,
301,3301.0,2.0,18.0,4.0,1.0,0.0,77.0,1070245.0,32.7045358,-117.1023429,7.19461431728e-05,52.8176657669,48.4209681508
302,3303.0,1.0,1.0,0.0,1.0,0.0,6.0,208346.0,32.69034,-117.0983788,2.87982490665e-05,,165.001296801
303,3303.0,2.0,9.0,0.0,0.0,3.0,72.0,410357.0,32.6940534,-117.0987858,0.000175456980142,,
304,3404.0,1.0,16.0,9.0,1.0,0.0,75.0,763362.0,32.7136965,-117.0893563,9.82495853867e-05,124.956733481,297.556479456
305,3404.0,2.0,14.0,3.0,0.0,0.0,65.0,907301.0,32.7142362,-117.097825,7.16410540714e-05,53.8758898853,
306,3403.0,3.0,6.0,2.0,1.0,0.0,39.0,315650.0,32.7099169,-117.1040348,0.000123554569935,201.794486374,144.922587133
307,3501.0,1.0,19.0,13.0,0.0,0.0,43.0,524232.0,32.7042659,-117.1122724,8.20247523997e-05,98.3541136138,
308,3401.0,1.0,27.0,2.0,5.0,0.0,47.0,597688.0,32.7310972,-117.0939213,7.86363453842e-05,86.0740839494,132.224954011
309,3214.0,2.0,,,,,,,,,,,
310,3301.0,1.0,27.0,8.0,4.0,0.0,66.0,456389.0,32.6985451,-117.1008495,0.000144613476661,62.5990092837,106.407132146
311,3401.0,2.0,12.0,5.0,0.0,1.0,58.0,1095513.0,32.7223415,-117.1012128,5.29432329877e-05,205.729362788,
312,3403.0,1.0,15.0,5.0,1.0,0.0,53.0,731374.0,32.7154348,-117.1114843,7.24663441686e-05,197.300083853,69.4774838151
313,3403.0,2.0,14.0,4.0,3.0,0.0,55.0,339843.0,32.7132794,-117.1066079,0.000161839437623,60.6325199736,85.1899515071
314,18905.0,1.0,,,,,,,,,,,
315,19001.0,1.0,,,,,,,,,,,
316,19106.0,2.0,,,,,,,,,,,
317,13314.0,1.0,,,,,,,,,,,
318,9603.0,1.0,3.0,0.0,0.0,0.0,6.0,185444.0,32.78728,-117.1112412,3.23547809581e-05,,
319,16616.0,1.0,,,,,,,,,,,
320,9704.0,5.0,4.0,0.0,0.0,0.0,53.0,465340.0,32.8048626,-117.0519783,0.000113895216401,,
321,9509.0,1.0,26.0,0.0,4.0,1.0,40.0,2448122.0,32.8089036,-117.0870148,1.63390549981e-05,,122.993894802
