,0,1,2,3,lon,lat,block,tract,geoid,blockgroup
164,129827,BP-001296-017,50030002,A,-117.25733327,32.7976947153,,,,
165,129828,BP-001296-018,50030003,A,-117.257251005,32.7974690143,,,,
166,129829,BP-001296-019,50030004,A,-117.257104917,32.7967299076,,,,
167,129832,BP-000817-007,50030011,A,-117.24450278,32.8000910512,,,,
168,129835,BP-000817-010,50030020,A,-117.244750277,32.8002298552,,,,
169,129840,BP-000817-002,50030032,A,-117.244592849,32.8011976342,,,,
170,129849,BP-000959-008,50030043,A,-117.167437659,32.7135394629,,,,
171,129851,BP-000959-010,50030045,A,-117.167493777,32.713175227,,,,
172,129852,BP-000959-002,50030046,A,-117.167502298,32.7128957987,,,,
173,129854,BP-000899-002,50030050,A,-117.134199452,32.7504008593,,,,
174,129855,BP-000899-003,50030052,A,-117.1343555,32.7503997409,,,,
175,129859,BP-000899-007,50030060,A,-117.134519315,32.7511722467,,,,
176,129872,BP-000899-020,50030080,A,-117.134040332,32.7532065898,,,,
177,129873,BP-000899-021,50030081,A,-117.13404439,32.7536109844,,,,
178,129875,BP-000899-023,50030083,A,-117.134807385,32.753957188,,,,
179,129877,BP-000899-025,50030085,A,-117.135010865,32.7534985541,,,,
180,129891,BP-001006-025,50030100,A,-117.050270021,32.6872480445,,,,
181,129894,BP-001006-004,50030103,A,-117.050733768,32.6855092239,,,,
182,129896,BP-001006-006,50030105,A,-117.051127981,32.6858375131,,,,
183,129897,BP-001006-007,50030106,A,-117.051131443,32.6862184696,,,,
184,129898,BP-001006-008,50030107,A,-117.050918237,32.6862399063,,,,
185,129908,BP-001017-001,50030121,A,-117.048340444,32.6769617464,,,,
186,129911,BP-001017-009,50030136,A,-117.048027146,32.6763265075,,,,
187,129916,BP-000842-003,50030153,A,-117.067105648,32.788644254,,,,
188,129917,BP-000842-004,50030154,A,-117.067133073,32.7889097398,,,,
189,129924,BP-001303-005,50030161,A,-117.177142352,32.7500437809,,,,
190,129925,BP-001303-006,50030162,A,-117.177237829,32.7500388147,,,,
191,129926,BP-001303-007,50030163,A,-117.177323295,32.7500381723,,,,
192,129928,BP-001303-009,50030165,A,-117.177143202,32.7501245007,,,,
193,129929,BP-001303-010,50030166,A,-117.177238633,32.750115286,,,,
194,129933,BP-001303-002,50030170,A,-117.177128835,32.7501925885,,,,
195,129935,BP-001303-004,50030172,A,-117.177330692,32.7502633002,,,,
196,129939,BP-000884-005,50030200,A,-117.196998191,32.7580485068,,,,
197,129942,BP-000884-008,50030219,A,-117.196397611,32.75804188,,,,
198,129944,BP-000884-010,50030222,A,-117.196171068,32.7582334252,,,,
199,129945,BP-000884-002,50030224,A,-117.195910238,32.7586172109,,,,
200,129957,BP-000803-008,50030239,A,-117.065263936,32.8070983468,,,,
201,129958,BP-000803-009,50030240,A,-117.065259579,32.8077242563,,,,
202,130167,BP-000824-006,50030453,A,-117.021428037,32.7979373887,,,,
203,130168,BP-000824-007,50030454,A,-117.021217434,32.7979921879,,,,
204,130170,BP-000824-009,50030456,A,-117.021338446,32.7981518818,,,,
205,130171,BP-000824-010,50030457,A,-117.021443514,32.798097742,,,,
206,130174,BP-000824-002,50030462,A,-117.020685478,32.7983104674,,,,
207,130188,BP-001106-008,50030470,A,-117.045081196,32.5470332842,,,,
208,130190,BP-001106-010,50030480,A,-117.044777875,32.5470474819,,,,
209,130194,BP-001106-014,50030504,A,-117.04535645,32.5463094099,,,,
210,130199,BP-000746-001,50030529,A,-117.275674867,32.8490737453,,,,
211,130201,BP-000746-003,50030531,A,-117.274691065,32.8499206595,,,,
212,130207,BP-000746-008,50030536,A,-117.273304882,32.8502022567,,,,
213,130229,BP-001090-006,50030568,A,-117.053626225,32.5783151688,,,,
214,130246,BP-000971-033,50030589,A,-117.025954874,32.7052409805,,,,
215,130248,BP-000971-008,50030591,A,-117.026367008,32.7052770733,,,,
216,130330,BP-001238-002,50030671,A,-117.236982155,32.7519111996,,,,
217,130331,BP-000992-001,50030672,A,-117.108055242,32.692707685,,,,
218,130334,BP-000992-004,50030675,A,-117.106851455,32.6932627771,,,,
219,130346,BP-000992-017,50030699,A,-117.104670991,32.693867125,,,,
220,130380,BP-001230-002,50030732,A,-117.241485271,32.7542374097,,,,
221,130381,BP-001230-011,50030733,A,-117.241353571,32.7541481087,,,,
222,130384,BP-001230-014,50030736,A,-117.24094659,32.7538803003,,,,
223,130393,BP-001230-023,50030775,A,-117.24085654,32.7532685886,,,,
224,130397,BP-001230-027,50030783,A,-117.24070873,32.7549163216,,,,
225,130401,BP-001230-031,50030790,A,-117.240316901,32.7549395469,,,,
226,130403,BP-001230-033,50030796,A,-117.240009926,32.7551126888,,,,
227,130405,BP-001230-035,50030802,A,-117.239947816,32.7548722292,,,,
228,130406,BP-001230-036,50030803,A,-117.239713365,32.7551552276,,,,
229,130413,BP-001230-043,50030814,A,-117.239011965,32.755120692,,,,
230,130414,BP-001230-044,50030818,A,-117.238986739,32.7549903754,,,,
231,130419,BP-001230-049,50030829,A,-117.238371544,32.7552262228,,,,
232,130422,BP-000990-012,50030832,A,-117.097899586,32.6943469743,,,,
233,130428,BP-000990-032,50030841,A,-117.096546322,32.6941509433,,,,
234,130432,BP-000990-004,50030849,A,-117.096422124,32.6944106894,,,,
235,130433,BP-000990-005,50030851,A,-117.096602364,32.6944897982,,,,
236,130439,BP-000990-011,50030883,A,-117.095930914,32.6949318472,,,,
237,130440,BP-000990-013,50030890,A,-117.095816499,32.6951111793,,,,
238,130448,BP-000990-021,50030942,A,-117.09596978,32.6956814789,,,,
239,130453,BP-001242-001,50030947,A,-117.210655786,32.8511791997,,,,
240,130454,BP-001242-011,50030949,A,-117.210287139,32.8513797594,,,,
241,130457,BP-001242-030,50030952,A,-117.209503803,32.8511387303,,,,
242,130459,BP-001242-032,50030955,A,-117.209134192,32.8521465411,,,,
243,130460,BP-001242-033,50030956,A,-117.209179302,32.851808465,,,,
244,130461,BP-001242-034,50030958,A,-117.20921591,32.8515857759,,,,
245,130470,BP-001242-010,50030988,A,-117.210290246,32.8507701812,,,,
246,130471,BP-001242-012,50030990,A,-117.210494804,32.8507356419,,,,
247,130475,BP-001242-016,50030999,A,-117.210723869,32.8502643392,,,,
248,130476,BP-001242-017,50031004,A,-117.21071582,32.8504209089,,,,
249,130477,BP-001242-018,50031008,A,-117.210737044,32.8505772509,,,,
250,130479,BP-001242-020,50031011,A,-117.211106047,32.850409636,,,,
251,130486,BP-001242-028,50031025,A,-117.210750309,32.8508983992,,,,
252,130489,BP-001297-009,50031030,A,-117.093430829,32.5760881848,,,,
253,130493,BP-001297-013,50031038,A,-117.093275929,32.5762270351,,,,
254,130497,BP-001297-003,50031067,A,-117.094486654,32.5762242496,,,,
255,130501,BP-001209-003,50031086,A,-117.161213651,32.7154861692,,,,
256,130504,BP-001209-006,50031089,A,-117.161827717,32.7154912433,,,,
257,130509,BP-001209-011,50031094,A,-117.161462957,32.7154042229,,,,
258,130511,BP-001209-012,50031096,A,-117.161523596,32.7154037748,,,,
259,130522,BP-001209-023,50031107,A,-117.161498226,32.715516108,,,,
260,130523,BP-001209-024,50031108,A,-117.161452681,32.7155100363,,,,
261,130525,BP-001209-026,50031110,A,-117.161421864,32.7154622016,,,,
262,130531,BP-001209-032,50031116,A,-117.161285626,32.7154824333,,,,
263,130539,BB-001219-008,50031134,A,-117.220713847,32.8010530933,,,,
264,130549,BB-001219-017,50031156,A,-117.219476693,32.8005869204,,,,
265,130554,BB-001219-022,50031164,A,-117.219406915,32.8003212901,,,,
266,130555,BB-001219-023,50031166,A,-117.219597553,32.8002875289,,,,
267,130556,BB-001219-024,50031168,A,-117.219807201,32.8002455521,,,,
268,130560,BB-001219-028,50031175,A,-117.220170799,32.8003072233,,,,
269,130562,BB-001219-030,50031183,A,-117.219856282,32.8003661566,,,,
270,130569,BB-001219-037,50031203,A,-117.219383594,32.8008054337,,,,
271,130571,BB-001219-039,50031205,A,-117.219318788,32.8009914608,,,,
272,130573,BB-001219-041,50031210,A,-117.220275804,32.801169461,,,,
273,130582,BP-000658-002,50031219,A,-117.134989557,32.9590170286,,,,
274,130590,BP-000770-005,50031227,A,-117.10804515,32.8361593131,,,,
275,130592,BP-000770-007,50031229,A,-117.107480244,32.8360699659,,,,
276,130593,BP-000770-008,50031230,A,-117.107955446,32.8359046692,,,,
277,130598,BP-000770-003,50031235,A,-117.108232239,32.8356671148,,,,
278,130605,BP-000698-002,50031263,A,-117.159863838,32.9146594153,,,,
279,130607,BP-000761-001,50031267,A,-117.277448794,32.8424203605,,,,
280,130609,BP-000761-009,50031270,A,-117.278088352,32.8422954221,,,,
281,130610,BP-000761-010,50031271,A,-117.278137043,32.8424203292,,,,
282,130611,BP-000761-011,50031273,A,-117.278185868,32.8425566273,,,,
283,130613,BP-000761-013,50031279,A,-117.277807244,32.8424914264,,,,
284,130614,BP-000761-014,50031280,A,-117.277553522,32.8427213784,,,,
285,130615,BP-000761-015,50031282,A,-117.277504299,32.8425509073,,,,
286,130616,BP-000761-002,50031283,A,-117.277891067,32.8427356578,,,,
287,130628,BP-001235-013,50031301,A,-117.139985796,32.7216559556,,,,
288,130631,BP-001235-002,50031304,A,-117.141468512,32.7207911825,,,,
289,130642,BP-000980-004,50031318,A,-117.131137024,32.7001507516,,,,
290,130650,BP-000980-011,50031336,A,-117.131182872,32.6988790693,,,,
291,130657,BP-000980-018,50031350,A,-117.130493975,32.6987777097,,,,
292,130661,BP-000980-022,50031355,A,-117.13183526,32.6982579547,,,,
293,130662,BP-000980-023,50031356,A,-117.130639426,32.7003678296,,,,
294,130663,BP-000980-024,50031359,A,-117.131165161,32.7005828193,,,,
295,130670,BP-001240-019,50031368,A,-117.247975929,32.7602401585,,,,
296,130680,BP-001149-006,50031381,A,-117.252086432,32.7694670245,,,,
297,130683,BP-001149-009,50031387,A,-117.2515398,32.7691689625,,,,
298,130687,BP-001234-001,50031394,A,-117.248729672,32.7848195783,,,,
299,130688,BP-001234-002,50031395,A,-117.249487443,32.7848032816,,,,
300,130689,BP-001234-003,50031396,A,-117.248993797,32.7837096956,,,,
301,130692,BP-001234-006,50031399,A,-117.249426062,32.7836350566,,,,
