,tract,blockgroup
969,020206,3
970,020304,4
971,020705,3
972,020708,1
973,020709,1
974,017900,4
975,021100,4
976,010300,2
977,008902,1
978,008513,1
979,008511,1
980,014901,3
981,015200,3
982,015404,4
983,016201,3
984,016401,3
985,016402,1
986,016402,2
987,016402,3
988,016402,4
989,017042,3
990,016503,1
991,016504,3
992,017019,3
993,017030,4
994,017039,3
995,017052,1
996,017052,2
997,017031,3
998,017032,1
999,008006,1
1000,017033,3
1001,017034,2
1002,017034,3
1003,014601,3
1004,003201,1
1005,021303,1
1006,021202,1
1007,014001,1
1008,016502,1
1009,016502,2
1010,016502,3
1011,016502,4
1012,016605,1
1013,016605,2
1014,014001,2
1015,015501,3
1016,015602,2
1017,020710,1
1018,020016,3
1019,021800,1
1020,018200,5
1021,018300,3
1022,005400,4
1023,007905,1
1024,017037,1
1025,020903,2
1026,019105,1
1027,013203,3
1028,020801,2
1029,020207,1
1030,018802,1
1031,019208,2
1032,016402,5
1033,016902,1
1034,018513,3
1035,015100,4
1036,016605,3
1037,016607,1
1038,016607,2
1039,016608,1
1040,016609,1
1041,007701,3
1042,007905,2
1043,007910,2
1044,016503,2
1045,016504,2
1046,016802,1
1047,017029,2
1048,017039,2
1049,017042,2
1050,017043,2
1051,017044,2
1052,017051,1
1053,017052,3
1054,018903,4
1055,015701,2
1056,017041,1
1057,008348,1
1058,008357,3
1059,019903,2
*1060,020709,3
1061,015200,1
1062,007302,2
1063,003401,3
1064,015200,4
1065,015301,1
1066,020705,2
1067,016610,1
1068,016612,1
1069,016612,2
1070,007907,2
1071,007908,2
1072,016613,2
1073,016614,1
1074,008003,2
1075,008003,3
1076,008324,4
1077,008361,1
1078,002302,2
1079,017054,2
1080,017055,1
1081,017055,2
1082,017055,3
1083,015403,1
1084,020016,5
1085,016615,1
1086,016617,1
1087,016702,1
1088,017056,1
1089,016702,2
1090,017053,1
1091,017053,2
1092,008365,2
1093,008600,4
1094,009305,1
1095,009306,1
1096,003603,3
1097,004800,2
1098,006200,1
1099,000900,2
1100,013411,1
1101,011700,1
1102,013420,2
1103,014805,2
1104,014805,3
1105,014806,2
1106,015403,2
1107,016702,4
1108,016802,4
1109,016804,1
1110,016804,2
1111,008362,3
1112,010009,4
1113,017056,2
1114,017109,1
1115,016605,4
1116,016702,3
1117,014901,1
1118,014902,1
1119,015802,3
1120,011601,2
1121,019103,2
1122,017009,1
1123,017009,2
1124,017010,1
1125,010010,3
1126,010011,1
1127,013000,2
1128,013000,3
1129,009000,2
1130,009106,3
1131,009306,4
1132,002801,2
1133,002903,2
1134,002905,2
1135,003305,2
1136,007600,5
1137,007600,6
1138,007600,7
1139,007701,1
1140,007701,2
1141,007702,1
1142,007702,2
1143,007702,3
1144,007907,1
1145,000202,2
1146,000800,4
1147,001300,5
1148,002502,3
1149,003213,2
1150,021000,4
1151,016807,2
1152,002601,3
1153,002602,3
1154,002711,1
1155,016804,4
1156,016806,1
1157,016806,3
1158,003304,1
1159,017054,3
1160,017054,4
1161,000400,3
1162,002001,2
1163,017014,1
1164,007702,4
1165,008006,5
1166,010011,2
1167,010012,1
1168,010013,1
1169,016809,3
1170,017010,2
1171,017032,2
1172,017033,1
1173,017033,2
1174,004200,2
1175,004300,1
1176,004400,1
1177,004400,4
1178,006300,1
1179,007002,2
1180,007301,4
1181,008002,3
1182,008006,2
1183,008006,4
1184,008101,2
1185,009505,4
1186,009509,2
1187,015404,1
1188,015404,3
1189,015405,1
1190,015405,2
1191,009511,1
1192,009511,2
1193,010009,2
1194,010009,3
1195,010109,2
1196,010111,2
1197,010112,2
1198,016807,3
1199,016807,4
1200,021000,1
*1201,020801,3
1202,020810,1
1203,020810,2
1204,015902,3
1205,008504,3
1206,005100,1
1207,004200,1
1208,010110,3
1209,006900,1
1210,001700,4
1211,020706,2
1212,013418,3
1213,021100,2
1214,019103,1
1215,020021,2
1216,010402,3
1217,011801,3
1218,013102,3
1219,013104,4
1220,013411,4
1221,013505,3
1222,020811,1
1223,020811,2
1224,020811,3
1225,020103,1
1226,021000,3
1227,021204,3
1228,021205,3
1229,021206,1
*1230,021304,1
1231,021500,1
*1232,013313,1
1233,022100,2
1234,022100,3
1235,010014,1
1236,007400,1
1237,019302,2
1238,019105,2
1239,020807,1
1240,016901,2
1241,016802,3
1242,018802,4
1243,020500,2
1244,018611,2
1245,020108,3
1246,020809,2
1247,016901,3
1248,015502,2
1249,017604,3
1250,017701,1
1251,017701,2
1252,017701,3
1253,017801,1
1254,017701,4
1255,017305,2
1256,017305,3
1257,017306,1
1258,017306,2
1259,017404,1
1260,017404,3
1261,017404,4
1262,017404,5
1263,017501,1
1264,017601,1
1265,017702,1
1266,017702,3
1267,017601,2
1268,017603,1
1269,017603,2
1270,017604,2
1271,017401,1
1272,017401,3
1273,017403,2
1274,017403,3
1275,017501,3
1276,017502,1
1277,017502,2
1278,017501,2
1279,019405,2
1280,019405,3
1281,019406,1
1282,019501,1
1283,019501,2
1284,019502,1
1285,019502,2
1286,020022,3
1287,020023,1
1288,020024,1
1289,020024,3
1290,018515,1
1291,018517,1
1292,018517,2
1293,018518,1
1294,018518,2
1295,019502,3
1296,019503,1
1297,020025,1
1298,020025,2
1299,020025,3
1300,020103,4
1301,018519,1
1302,018519,2
1303,018601,1
1304,018603,1
1305,019206,3
1306,019207,3
1307,019302,1
1308,019602,1
1309,019701,2
1310,019701,3
1311,020105,1
1312,020105,2
1313,020106,1
1314,020106,2
1315,020107,1
1316,020107,2
1317,018608,2
1318,018609,2
1319,019302,3
1320,019301,1
1321,019303,2
1322,019403,1
1323,019403,2
1324,019702,1
1325,019702,2
1326,019702,3
1327,019803,2
1328,019804,1
1329,019804,2
1330,018610,2
1331,018610,3
1332,018611,3
1333,018903,2
1334,018903,3
1335,018904,1
1336,018904,2
1337,019406,2
1338,019804,3
1339,020108,1
1340,020108,2
1341,018904,3
1342,018904,4
1343,018905,2
1344,018905,3
1345,018906,1
1346,018906,2
1347,018906,3
1348,019203,1
1349,019203,2
1350,019205,1
1351,019205,2
1352,019205,3
1353,019205,4
1354,019206,1
1355,019206,2
1356,017808,3
1357,019805,1
1358,017808,4
1359,017811,1
1360,017811,2
1361,017811,3
1362,017900,1
1363,017900,2
1364,019805,2
1365,019805,3
1366,017900,5
1367,018000,1
1368,018100,1
1369,018100,2
1370,018100,3
1371,017900,3
1372,018100,4
1373,019902,1
1374,019902,2
1375,019904,2
1376,018100,5
1377,018200,1
1378,018200,2
1379,019905,1
1380,018300,2
1381,018400,1
1382,018400,2
1383,017303,1
1384,018300,1
1385,020013,2
1386,020014,3
1387,018504,1
1388,018504,3
1389,018507,1
1390,018507,2
1391,018507,3
1392,020014,4
1393,020016,1
1394,020016,2
1395,020016,4
1396,018509,1
1397,018509,2
1398,018509,3
1399,018509,4
1400,018510,1
1401,020017,1
1402,020018,1
1403,020018,2
1404,020018,3
1405,020018,4
1406,018510,2
1407,018511,1
1408,018511,2
1409,018511,3
1410,018511,4
1411,019404,2
1412,019405,1
1413,019404,1
1414,020019,2
1415,020019,3
1416,020020,2
1417,020022,2
1418,018512,2
1419,018513,2
1420,018514,1
1421,018514,2
1422,018400,3
1423,017015,4
1424,020108,4
1425,015100,2
1426,017018,1
1427,017018,2
*1428,017020,2
1429,007002,3
1430,008003,1
1431,009505,1
1432,009902,1
1433,010012,3
*1434,011802,3
1435,010106,2
1436,010106,3
1437,010107,1
1438,010107,2
1439,010107,3
1440,010110,1
1441,010110,2
1442,010110,4
1443,010110,5
1444,011700,4
1445,011801,1
1446,011801,2
1447,011700,3
1448,011802,1
*1449,011802,2
*1450,011902,1
1451,010112,1
1452,010200,1
1453,010200,2
1454,010200,3
1455,010111,1
1456,010200,5
1457,010300,4
*1458,011902,2
*1459,011902,4
1460,012002,1
1461,012002,2
1462,012003,2
1463,012101,1
1464,012102,1
1465,012102,2
1466,012200,2
1467,012302,1
1468,012303,1
1469,012303,2
1470,012304,1
1471,010402,1
1472,010402,2
1473,010501,1
1474,010401,1
*1475,010502,1
*1476,010502,2
*1477,010502,3
1478,012401,1
1479,012401,2
1480,012402,1
1481,012402,2
1482,012304,2
1483,012600,3
1484,013102,1
1485,013102,2
1486,013103,1
1487,013103,2
1488,013104,1
1489,013104,3
1490,013203,1
1491,013203,4
*1492,010502,4
*1493,010601,1
1494,010800,1
1495,012600,4
1496,012700,1
1497,012700,2
1498,012800,1
1499,012800,2
1500,013000,4
1501,010900,1
1502,010900,2
1503,011000,1
1504,011000,2
1505,011100,1
1506,011100,2
1507,013415,1
1508,013416,1
1509,013416,2
1510,013417,1
1511,013418,1
1512,013418,2
1513,013418,4
1514,013503,1
1515,013503,2
1516,013503,3
1517,013504,1
1518,013504,2
1519,013505,1
*1520,013419,1
1521,020805,1
1522,013504,3
1523,013601,3
1524,013601,4
1525,013604,1
1526,013604,2
1527,013604,3
1528,013604,4
1529,013505,2
1530,013506,1
1531,013601,1
1532,013605,1
1533,013605,2
1534,020708,2
1535,013601,2
1536,013204,1
1537,013301,1
1538,013301,2
1539,013302,1
1540,013302,2
1541,013303,1
1542,013205,1
*1543,013206,1
*1544,013206,3
1545,013303,2
1546,013303,3
1547,013306,1
1548,013306,2
1549,013307,1
1550,013307,2
1551,013311,1
1552,013308,1
1553,013309,1
1554,013309,2
1555,013309,4
1556,013311,2
1557,013311,3
1558,013311,4
1559,013312,1
1560,013401,1
1561,013401,2
1562,013409,2
1563,013409,3
1564,013411,3
1565,013412,2
1566,013414,1
1567,013414,3
1568,012502,2
1569,008501,1
1570,009201,1
1571,009201,3
1572,008313,1
*1573,014700,4
1574,014803,1
1575,009202,2
1576,009301,1
1577,009301,3
1578,009104,2
1579,009106,1
1580,009106,2
1581,009107,1
1582,009107,2
1583,014101,1
1584,014101,2
1585,014102,1
1586,014102,2
1587,014400,2
1588,021400,1
*1589,021900,1
1590,009201,4
1591,009901,1
1592,010200,4
1593,015701,3
1594,016617,2
1595,013606,1
1596,013606,2
1597,013606,3
1598,013701,1
1599,013702,1
1600,013702,2
1601,013801,2
1602,014601,2
1603,013802,1
1604,013903,1
1605,013905,1
1606,013905,2
1607,013905,3
1608,013907,1
1609,013907,2
1610,013909,1
1611,013909,2
1612,014001,3
1613,014001,4
1614,014002,2
1615,014200,1
1616,014200,2
1617,014200,3
1618,014300,1
1619,014400,1
1620,016807,1
1621,014500,1
1622,014500,2
1623,014500,3
1624,014601,1
1625,014602,1
1626,014602,3
*1627,014700,1
*1628,014700,2
*1629,014700,3
1630,013801,3
1631,014803,2
1632,014803,3
1633,014804,1
1634,014804,2
1635,014804,3
1636,013410,1
1637,015000,1
1638,015000,2
1639,015000,3
1640,015000,4
1641,015100,1
1642,015405,3
1643,015601,1
1644,015601,2
1645,015701,1
1646,015703,2
1647,015801,1
1648,015802,1
1649,016809,1
1650,016809,2
1651,016810,1
1652,016811,2
1653,017006,1
*1654,017006,2
1655,015802,2
1656,015901,1
1657,015902,1
1658,015902,2
1659,016000,1
1660,016000,2
1661,016100,1
