,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,mobile_counts,web_counts,phone_counts,gsl_meandist,gsl_stddist,gsl_mediandist,dsl_meandist,dsl_stddist,dsl_mediandist,sl_count,landarea,cent_lat,cent_lon,sl_density,total_pop,rep_per_cap,graffiti_per,dump_per,lighting_per,tract_in_city
65,202.0,3.0,32.0,1.0,1.0,1.0,8.0,17.0,5.0,14.1458262641,14.1458262641,14.1458262641,57.9990773636,57.9990773636,57.9990773636,66.0,561250.0,32.7451109,-117.1711131,0.000117594654788,2329,0.0137398024903,0.03125,0.03125,0.03125,1.0
66,8337.0,3.0,8.0,1.0,0.0,0.0,2.0,2.0,2.0,185.246671856,185.246671856,185.246671856,,,,42.0,502912.0,32.9553442,-117.1368837,8.35136166964e-05,1723,0.00464306442252,0.125,0.0,0.0,1.0
67,8340.0,3.0,1.0,0.0,0.0,0.0,,1.0,,,,,,,,21.0,377507.0,32.8718309,-117.1999695,5.56281075583e-05,2216,0.000451263537906,0.0,0.0,0.0,1.0
68,8340.0,4.0,15.0,0.0,1.0,2.0,1.0,10.0,4.0,,,,123.615309428,123.615309428,123.615309428,54.0,500362.0,32.8678234,-117.2045327,0.00010792186457,2204,0.0068058076225,0.0,0.0666666666667,0.133333333333,1.0
69,8341.0,2.0,23.0,0.0,0.0,2.0,4.0,7.0,12.0,,,,,,,50.0,474839.0,32.8717691,-117.216157,0.000105298848662,5663,0.00406145152746,0.0,0.0,0.0869565217391,1.0
70,8346.0,2.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,62.0,1816013.0,32.9322708,-117.156419,3.41407247635e-05,2012,0.00248508946322,0.0,0.0,0.4,1.0
71,8347.0,4.0,2.0,0.0,0.0,0.0,,2.0,,,,,,,,32.0,218866.0,32.9292352,-117.1498655,0.000146208182175,785,0.00254777070064,0.0,0.0,0.0,1.0
72,8902.0,2.0,16.0,4.0,1.0,0.0,10.0,5.0,,205.38550762,205.38550762,212.060985464,476.421516073,476.421516073,476.421516073,28.0,769110.0,32.7666935,-117.1740746,3.64057156974e-05,1134,0.0141093474427,0.25,0.0625,0.0,1.0
73,8702.0,2.0,25.0,1.0,4.0,2.0,8.0,15.0,2.0,190.106088361,190.106088361,190.106088361,92.34598735,92.34598735,64.5168581729,92.0,1372254.0,32.7812135,-117.1582498,6.70429818386e-05,1701,0.0146972369195,0.04,0.16,0.08,1.0
74,9104.0,1.0,20.0,0.0,0.0,0.0,5.0,14.0,1.0,,,,,,,42.0,556879.0,32.7813624,-117.2032921,7.54203336811e-05,1422,0.014064697609,0.0,0.0,0.0,1.0
75,9202.0,1.0,18.0,5.0,1.0,2.0,4.0,10.0,4.0,153.615067324,153.615067324,143.577377073,1.93191903627,1.93191903627,1.93191903627,84.0,1738457.0,32.7820463,-117.1473603,4.83187102126e-05,1562,0.01152368758,0.277777777778,0.0555555555556,0.111111111111,1.0
76,9301.0,2.0,13.0,0.0,0.0,0.0,5.0,6.0,2.0,,,,,,,44.0,751627.0,32.7964852,-117.1342016,5.85396745992e-05,1333,0.00975243810953,0.0,0.0,0.0,1.0
77,9510.0,3.0,0.0,,,,,,,,,,,,,,,,,,1104,0.0,,,,1.0
78,9704.0,4.0,7.0,0.0,0.0,0.0,,2.0,5.0,,,,,,,31.0,670642.0,32.8023694,-117.0600514,4.62243641168e-05,745,0.00939597315436,0.0,0.0,0.0,1.0
79,9802.0,1.0,24.0,7.0,0.0,0.0,2.0,15.0,5.0,68.6382086463,68.6382086463,66.3974006497,,,,83.0,579832.0,32.7961346,-117.0200128,0.00014314491094,1116,0.0215053763441,0.291666666667,0.0,0.0,1.0
80,10104.0,1.0,15.0,6.0,0.0,0.0,10.0,3.0,1.0,59.6044105681,59.6044105681,48.8115508172,,,,41.0,961651.0,32.5636143,-117.0970072,4.26350099984e-05,1670,0.00898203592814,0.4,0.0,0.0,1.0
81,10200.0,6.0,1.0,1.0,0.0,0.0,1.0,,,5612.50118369,5612.50118369,5612.50118369,,,,,,,,,1368,0.000730994152047,1.0,0.0,0.0,0.0
82,10300.0,3.0,0.0,,,,,,,,,,,,,,,,,,1482,0.0,,,,0.0
83,13606.0,4.0,0.0,,,,,,,,,,,,,,,,,,1533,0.0,,,,0.0
84,16614.0,2.0,0.0,,,,,,,,,,,,,,,,,,1724,0.0,,,,0.0
85,16616.0,2.0,0.0,,,,,,,,,,,,,,,,,,2609,0.0,,,,0.0
86,11300.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,2666,0.000375093773443,0.0,0.0,0.0,0.0
87,11902.0,3.0,0.0,,,,,,,,,,,,,,,,,,1094,0.0,,,,0.0
88,12501.0,1.0,0.0,,,,,,,,,,,,,,,,,,1544,0.0,,,,0.0
89,12501.0,2.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,1439,0.000694927032662,0.0,0.0,0.0,0.0
90,12502.0,1.0,0.0,,,,,,,,,,,,,,,,,,1187,0.0,,,,0.0
91,18612.0,2.0,0.0,,,,,,,,,,,,,,,,,,1501,0.0,,,,0.0
92,18613.0,2.0,0.0,,,,,,,,,,,,,,,,,,560,0.0,,,,0.0
93,18614.0,2.0,0.0,,,,,,,,,,,,,,,,,,1863,0.0,,,,0.0
94,19301.0,2.0,0.0,,,,,,,,,,,,,,,,,,2938,0.0,,,,0.0
95,19403.0,3.0,0.0,,,,,,,,,,,,,,,,,,644,0.0,,,,0.0
96,20029.0,3.0,0.0,,,,,,,,,,,,,,,,,,2286,0.0,,,,0.0
97,20209.0,3.0,0.0,,,,,,,,,,,,,,,,,,662,0.0,,,,0.0
98,20211.0,4.0,0.0,,,,,,,,,,,,,,,,,,962,0.0,,,,0.0
99,20213.0,1.0,0.0,,,,,,,,,,,,,,,,,,1846,0.0,,,,0.0
100,20213.0,2.0,0.0,,,,,,,,,,,,,,,,,,875,0.0,,,,0.0
101,20214.0,2.0,0.0,,,,,,,,,,,,,,,,,,2662,0.0,,,,0.0
102,20214.0,3.0,0.0,,,,,,,,,,,,,,,,,,1216,0.0,,,,0.0
103,20809.0,3.0,0.0,,,,,,,,,,,,,,,,,,2657,0.0,,,,0.0
104,3603.0,2.0,17.0,1.0,1.0,1.0,6.0,7.0,4.0,53.8991498409,53.8991498409,53.8991498409,236.802346153,236.802346153,236.802346153,26.0,230776.0,32.6848546,-117.1063686,0.000112663361875,1702,0.00998824911868,0.0588235294118,0.0588235294118,0.0588235294118,1.0
105,3401.0,4.0,24.0,6.0,6.0,0.0,9.0,10.0,5.0,175.401688438,175.401688438,195.315795307,103.797085856,103.797085856,87.8816927368,86.0,800484.0,32.7262393,-117.0897175,0.000107435001824,2649,0.00906002265006,0.25,0.25,0.0,1.0
106,14002.0,1.0,0.0,,,,,,,,,,,,,,,,,,2303,0.0,,,,0.0
107,20401.0,1.0,0.0,,,,,,,,,,,,,,,,,,996,0.0,,,,0.0
108,8348.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,,,,,,,44.0,591245.0,32.9121164,-117.1687159,7.44192339893e-05,2049,0.0024402147389,0.0,0.0,0.0,1.0
109,8350.0,4.0,1.0,0.0,0.0,0.0,,1.0,,,,,,,,32.0,297589.0,32.9068583,-117.1660672,0.000107530856315,2040,0.000490196078431,0.0,0.0,0.0,1.0
110,8354.0,2.0,9.0,0.0,1.0,0.0,5.0,1.0,3.0,,,,30.0546822838,30.0546822838,30.0546822838,34.0,466043.0,32.9284272,-117.1225547,7.29546415245e-05,2457,0.003663003663,0.0,0.111111111111,0.0,1.0
111,8363.0,2.0,0.0,,,,,,,,,,,,,,,,,,2524,0.0,,,,1.0
