tract,blockgroup,male_5_17,male_18_29,male_30_60,male_61plus,female_5_17,female_18_29,female_30_60,female_61plus,rent_0_500,rent_501_1000,rent_1000plus,income_0_25,income_25_50,income_50_100,income_100_150,income_150plus,white_per,baa_per,aian_per,asian_per,pi_per,other_per,tp_per,latin_per,publica_per,ownerocc_per,median_house_income,median_structure_year,median_home_value
300.0,5.0,0.0867768595041,0.117768595041,0.621900826446,0.173553719008,0.0,0.40119760479,0.505988023952,0.0928143712575,0.0,0.147757255937,0.852242744063,0.256360078278,0.0293542074364,0.409001956947,0.205479452055,0.0998043052838,0.781173594132,0.078239608802,0.0,0.0342298288509,0.0,0.0,0.0268948655257,0.0794621026895,0.0,0.25831702544,62569,1972,772700
400.0,1.0,0.109911678116,0.350343473994,0.459273797841,0.0804710500491,0.0123076923077,0.281538461538,0.513846153846,0.192307692308,0.0199468085106,0.1875,0.792553191489,0.140061791967,0.171987641607,0.519052523172,0.140061791967,0.0288362512873,0.636309167166,0.000599161174356,0.0,0.225883762732,0.0,0.0,0.0,0.137207908928,0.0267765190525,0.225540679712,68533,1977,322100
400.0,2.0,0.0,0.236080178174,0.732739420935,0.0311804008909,0.0,0.308108108108,0.489189189189,0.202702702703,0.0,0.407725321888,0.592274678112,0.198895027624,0.134438305709,0.438305709024,0.0883977900552,0.139963167587,0.6336996337,0.042735042735,0.0,0.019536019536,0.0,0.0,0.105006105006,0.199023199023,0.0,0.141804788214,64442,1967,189400
400.0,3.0,0.0587544065805,0.1821386604,0.661574618096,0.0975323149236,0.0568475452196,0.268733850129,0.387596899225,0.286821705426,0.0,0.0391459074733,0.960854092527,0.105849582173,0.0933147632312,0.511142061281,0.235376044568,0.0543175487465,0.798061389338,0.0145395799677,0.0,0.1098546042,0.0,0.0,0.0,0.0775444264943,0.0,0.196378830084,72283,1982,521500
500.0,1.0,0.147392290249,0.174603174603,0.532879818594,0.145124716553,0.135542168675,0.144578313253,0.509036144578,0.210843373494,0.0,0.358333333333,0.641666666667,0.121495327103,0.217289719626,0.359813084112,0.0911214953271,0.210280373832,0.796895213454,0.0,0.0310478654592,0.0,0.0,0.0,0.0789133247089,0.0931435963777,0.0,0.422897196262,62500,1947,591100
500.0,2.0,0.190909090909,0.04,0.52,0.249090909091,0.0,0.314126394052,0.440520446097,0.245353159851,0.0215982721382,0.5313174946,0.447084233261,0.164835164835,0.304552590267,0.379905808477,0.0800627943485,0.0706436420722,0.723345588235,0.0165441176471,0.0,0.0634191176471,0.0,0.0202205882353,0.0248161764706,0.151654411765,0.0,0.273155416013,53207,1954,631900
500.0,3.0,0.0182149362477,0.364298724954,0.502732240437,0.114754098361,0.0609480812641,0.293453724605,0.501128668172,0.144469525959,0.0,0.381395348837,0.618604651163,0.0394736842105,0.308270676692,0.428571428571,0.0845864661654,0.139097744361,0.617943548387,0.0866935483871,0.0,0.0977822580645,0.0211693548387,0.0,0.0423387096774,0.134072580645,0.0,0.191729323308,56667,1947,666700
600.0,1.0,0.0844594594595,0.293918918919,0.581081081081,0.0405405405405,0.0796915167095,0.164524421594,0.6735218509,0.0822622107969,0.0,0.302752293578,0.697247706422,0.168021680217,0.289972899729,0.392953929539,0.0677506775068,0.0813008130081,0.550364963504,0.0525547445255,0.0,0.0788321167883,0.0102189781022,0.0,0.0525547445255,0.255474452555,0.0,0.0894308943089,53563,1971,507400
600.0,2.0,0.0852534562212,0.168202764977,0.442396313364,0.304147465438,0.106109324759,0.360128617363,0.360128617363,0.173633440514,0.015037593985,0.406015037594,0.578947368421,0.227826086957,0.173913043478,0.420869565217,0.168695652174,0.00869565217391,0.734848484848,0.0274621212121,0.0,0.0189393939394,0.0,0.0,0.0445075757576,0.174242424242,0.04,0.292173913043,55043,1962,442100
600.0,3.0,0.0,0.170278637771,0.707430340557,0.122291021672,0.0703125,0.134765625,0.42578125,0.369140625,0.135881104034,0.138004246285,0.726114649682,0.287858117326,0.12687585266,0.287858117326,0.212824010914,0.0845839017735,0.645077720207,0.0716753022453,0.0,0.052677029361,0.0103626943005,0.0,0.0293609671848,0.190846286701,0.0109140518417,0.357435197817,60880,1986,411400
