tract,blockgroup,count,graffiti_count,dump_count,lighting_count,gsl_meandist,dsl_meandist,sl_count,landarea,cent_lat,cent_lon,sl_density
3601.0,1.0,45.0,4.0,18.0,3.0,68.1188632215,80.3308980969,104.0,897314.0,32.6909981,-117.1165301,0.000115901457015
18801.0,1.0,,,,,,,,,,,
19303.0,1.0,,,,,,,,,,,
4501.0,1.0,62.0,37.0,3.0,4.0,98.2856433099,115.699259852,43.0,164495.0,32.7176294,-117.1360148,0.000261406121767
13908.0,1.0,,,,,,,,,,,
16901.0,4.0,,,,,,,,,,,
3208.0,3.0,5.0,1.0,0.0,0.0,203.994246942,,5.0,141850.0,32.680759,-117.0446213,3.52485019387e-05
3212.0,2.0,18.0,3.0,1.0,1.0,143.399672202,210.967506421,72.0,803843.0,32.6709119,-117.0545579,8.95697294123e-05
18611.0,1.0,,,,,,,,,,,
13906.0,1.0,,,,,,,,,,,
20103.0,3.0,,,,,,,,,,,
19105.0,3.0,,,,,,,,,,,
21100.0,1.0,,,,,,,,,,,
3207.0,1.0,,,,,,,,,,,
8507.0,2.0,15.0,3.0,1.0,0.0,48.9924801548,75.4133171069,18.0,122378.0,32.8217726,-117.1692613,0.000147085260423
16901.0,1.0,,,,,,,,,,,
13702.0,3.0,,,,,,,,,,,
18801.0,2.0,,,,,,,,,,,
16701.0,1.0,,,,,,,,,,,
10107.0,4.0,5.0,2.0,0.0,0.0,57.3695295832,,29.0,255363.0,32.5786424,-117.0728131,0.000113563828746
17019.0,2.0,10.0,0.0,0.0,0.0,,,89.0,1240154.0,33.0341702,-117.0539075,7.17652807635e-05
8600.0,1.0,16.0,3.0,0.0,1.0,62.9804720076,,71.0,2036590.0,32.7913374,-117.1797834,3.48621961219e-05
19208.0,1.0,,,,,,,,,,,
2707.0,3.0,4.0,1.0,1.0,0.0,41.0022331109,111.406264138,31.0,117438.0,32.7512943,-117.0885293,0.000263969073043
20307.0,1.0,,,,,,,,,,,
1800.0,5.0,24.0,2.0,2.0,0.0,47.8024306674,94.3021123321,18.0,97472.0,32.7643897,-117.1194997,0.000184668417597
4501.0,2.0,22.0,16.0,3.0,1.0,67.6580127229,115.19015151,38.0,79565.0,32.7176437,-117.1392394,0.000477596933325
19701.0,1.0,,,,,,,,,,,
8339.0,1.0,77.0,0.0,1.0,7.0,,291.187878975,261.0,11791380.0,32.9028483,-117.2312349,2.21348137368e-05
19806.0,1.0,,,,,,,,,,,
15602.0,1.0,,,,,,,,,,,
15501.0,2.0,,,,,,,,,,,
15301.0,2.0,,,,,,,,,,,
5900.0,1.0,27.0,4.0,1.0,1.0,46.0975547409,192.922090825,48.0,156868.0,32.7292979,-117.1612051,0.000305989749343
2708.0,1.0,5.0,0.0,0.0,2.0,,,25.0,165559.0,32.7552225,-117.0812058,0.000151003569724
18608.0,1.0,,,,,,,,,,,
17808.0,1.0,,,,,,,,,,,
15200.0,2.0,,,,,,,,,,,
18512.0,1.0,,,,,,,,,,,
20706.0,1.0,,,,,,,,,,,
20015.0,1.0,,,,,,,,,,,
8352.0,1.0,3.0,1.0,0.0,0.0,96.711012605,,19.0,195389.0,32.9269424,-117.1339018,9.72419122878e-05
13309.0,3.0,,,,,,,,,,,
21304.0,2.0,,,,,,,,,,,
20307.0,2.0,,,,,,,,,,,
20022.0,1.0,,,,,,,,,,,
19207.0,2.0,,,,,,,,,,,
18903.0,1.0,,,,,,,,,,,
13410.0,2.0,,,,,,,,,,,
16302.0,1.0,,,,,,,,,,,
17604.0,1.0,,,,,,,,,,,
13204.0,3.0,,,,,,,,,,,
9802.0,2.0,5.0,0.0,0.0,0.0,,,12.0,179947.0,32.8011558,-117.0094017,6.66863020778e-05
7600.0,3.0,83.0,21.0,5.0,12.0,155.002452293,124.150365668,316.0,1337168.0,32.7695739,-117.2435975,0.000236320342694
4600.0,1.0,36.0,2.0,10.0,2.0,76.0260676784,88.0059283061,65.0,195699.0,32.7169839,-117.1446108,0.000332142729396
2707.0,1.0,14.0,5.0,1.0,0.0,188.03764477,142.722713246,14.0,106482.0,32.7546896,-117.0905724,0.000131477620631
8346.0,1.0,76.0,1.0,5.0,6.0,103.511306351,370.080368911,359.0,9918449.0,32.9089362,-117.1935293,3.61951752739e-05
9506.0,2.0,10.0,0.0,0.0,4.0,,,41.0,444109.0,32.8253401,-117.100028,9.23196782772e-05
19503.0,3.0,,,,,,,,,,,
19809.0,1.0,,,,,,,,,,,
20029.0,1.0,,,,,,,,,,,
20109.0,1.0,,,,,,,,,,,
20109.0,2.0,,,,,,,,,,,
20214.0,1.0,,,,,,,,,,,
13206.0,2.0,,,,,,,,,,,
13409.0,1.0,,,,,,,,,,,
13414.0,2.0,,,,,,,,,,,
13414.0,4.0,,,,,,,,,,,
