tract,blockgroup,count,landarea,cent_lat,cent_lon,sl_density
6100.0,1.0,50,443744,+32.7386438,-117.1731717,0.000112677579866
6100.0,2.0,93,448379,+32.7342169,-117.1742465,0.000207413817329
6200.0,1.0,52,3275646,+32.7317283,-117.1904454,1.58747312744e-05
6300.0,1.0,18,1961071,+32.7377186,-117.1977435,9.17865798842e-06
6500.0,1.0,200,1811125,+32.7540326,-117.2088997,0.000110428601008
6500.0,2.0,150,1021913,+32.7546700,-117.1959793,0.000146783532453
6500.0,3.0,144,884552,+32.7452495,-117.1898623,0.000162794273259
6600.0,1.0,62,509284,+32.7456170,-117.2061684,0.000121739540217
6801.0,1.0,39,672660,+32.7547548,-117.2292638,5.79787708501e-05
6802.0,1.0,71,421920,+32.7485638,-117.2121918,0.000168278346606
6802.0,2.0,37,297914,+32.7518874,-117.2195596,0.000124196915888
6802.0,3.0,30,297660,+32.7507332,-117.2263164,0.000100786131828
6900.0,1.0,119,838357,+32.7461812,-117.2220420,0.000141944302964
6900.0,2.0,52,383119,+32.7393341,-117.2264866,0.000135728063604
6900.0,3.0,86,597514,+32.7410139,-117.2189178,0.000143929681982
7002.0,1.0,43,575870,+32.7365769,-117.2353301,7.46696302985e-05
7002.0,2.0,24,507407,+32.7309837,-117.2358438,4.72993080505e-05
7002.0,3.0,19,360151,+32.7276005,-117.2358304,5.27556497136e-05
7100.0,1.0,37,755377,+32.7145648,-117.2379280,4.89821638731e-05
7100.0,2.0,111,1552328,+32.7183624,-117.2430625,7.15055065682e-05
7100.0,3.0,25,558085,+32.7203455,-117.2329610,4.47960436134e-05
7200.0,1.0,58,1120736,+32.7165102,-117.2499775,5.17517060218e-05
7200.0,2.0,161,1684279,+32.7266569,-117.2544569,9.55898636746e-05
7301.0,1.0,10,205403,+32.7370899,-117.2528295,4.86847806507e-05
7301.0,2.0,34,235533,+32.7449881,-117.2538024,0.000144353445165
7301.0,3.0,15,261377,+32.7419937,-117.2516601,5.73883700555e-05
7301.0,4.0,8,155982,+32.7392875,-117.2514684,5.12879691246e-05
7302.0,1.0,9,273677,+32.7383953,-117.2425477,3.28854817906e-05
7302.0,2.0,12,274817,+32.7358481,-117.2447013,4.36654209892e-05
7302.0,3.0,11,286444,+32.7331882,-117.2466578,3.84019214925e-05
7400.0,1.0,5,84285,+32.7512701,-117.2309058,5.93225366317e-05
7400.0,2.0,36,309462,+32.7484884,-117.2324472,0.000116330922698
7400.0,3.0,28,308431,+32.7461077,-117.2391311,9.07820549815e-05
7400.0,4.0,7,209295,+32.7441856,-117.2301529,3.3445615041e-05
7400.0,5.0,42,338444,+32.7420916,-117.2353256,0.000124097339589
7400.0,6.0,17,271888,+32.7428622,-117.2392301,6.25257458954e-05
7501.0,1.0,42,246218,+32.7508763,-117.2393824,0.000170580542446
7501.0,2.0,16,100074,+32.7479057,-117.2421991,0.000159881687551
7501.0,3.0,29,146966,+32.7504725,-117.2452704,0.000197324551257
7501.0,4.0,93,475924,+32.7538782,-117.2438157,0.000195409351073
7501.0,5.0,10,64636,+32.7518594,-117.2493710,0.000154712544093
7502.0,1.0,76,300079,+32.7450859,-117.2455530,0.000253266639785
7502.0,2.0,64,210537,+32.7490068,-117.2524400,0.000303984572783
7502.0,3.0,41,161992,+32.7476311,-117.2483163,0.000253098918465
7600.0,1.0,469,5952388,+32.7727787,-117.2172697,7.87919067104e-05
7600.0,2.0,113,417012,+32.7699760,-117.2492438,0.000270975415576
7600.0,3.0,316,1337168,+32.7695739,-117.2435975,0.000236320342694
7600.0,4.0,60,310101,+32.7619521,-117.2507774,0.000193485348322
7600.0,5.0,26,105701,+32.7657463,-117.2512070,0.000245976859254
7600.0,6.0,35,132191,+32.7843246,-117.2527148,0.000264768403295
7600.0,7.0,29,180535,+32.7895354,-117.2527002,0.000160633672141
7701.0,1.0,31,176343,+32.7911199,-117.2432015,0.000175793765559
7701.0,2.0,31,236495,+32.7845886,-117.2380249,0.00013108099537
7701.0,3.0,10,155801,+32.7910515,-117.2396499,6.4184440408e-05
7702.0,1.0,26,200374,+32.7847457,-117.2355608,0.000129757353748
7702.0,2.0,16,198882,+32.7913901,-117.2349498,8.04497139007e-05
7702.0,3.0,9,140196,+32.7936196,-117.2325357,6.41958401096e-05
7702.0,4.0,9,105419,+32.7915555,-117.2373896,8.53736043787e-05
7800.0,1.0,48,649215,+32.8027598,-117.2191848,7.39354451145e-05
