Age (Days),Case Number,Closed Date,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Problem Category,Public Description,SAP URL,Status,Subject,block_group,count,geoid,tract,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
56,91709,,32.783768,-117.198181,7/5/16,Street Light,In front of the bus stop at Illion and Milton St there is a hole in the sidewalk with wires and metal sticking out as a dangerous tripping hazard.  Looks like a planned streetlight that was never installed.  It's a busy sidewalk.  My husband impaled his shoe on it on July 4th.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AmkuAAC,Assigned,"Street Light Light Out at Milton Street, San Diego, CA, United States",3.0,1,60730091033.0,9103.0,1,1500000US060730091033,60730091033.0,49.8,51.6,47.3,1107.0,1008.0,782.0,10.0,0.0,188.0,0.0,0.0,28.0,0.0,28.0,99.0,15.0,23.0,9.0,0.0,13.0,17.0,25.0,0.0,15.0,15.0,40.0,113.0,54.0,77.0,61.0,32.0,92757,0.0,509.0,52452,438.0,71.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,33.0,0.0,585800
22,91730,7/28/16,32.7271119,-117.170686,7/6/16,Street Light,Cobra light out on NW corner of Kettner and Ivy,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AnZ9AAK,Closed,Street Light Light Out at 2168 Kettner Blvd,1.0,1,60730058001.0,5800.0,1,1500000US060730058001,60730058001.0,31.5,32.7,29.7,2859.0,2400.0,2149.0,77.0,0.0,153.0,0.0,0.0,21.0,0.0,21.0,459.0,158.0,29.0,25.0,0.0,22.0,105.0,16.0,52.0,41.0,183.0,141.0,232.0,127.0,130.0,140.0,203.0,78071,25.0,1579.0,56828,413.0,1191.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,18.0,18.0,98.0,84.0,85.0,317.0,512.0,24.0,374800
55,91776,,32.76495432,-117.1073219,7/6/16,Street Light,LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ApsSAAS,Assigned,"Light Out at ALDER DR & KENSINGTON DR,, 92116",2.0,1,60730020012.0,2001.0,1,1500000US060730020012,60730020012.0,45.6,47.6,43.9,1335.0,1307.0,1219.0,39.0,0.0,24.0,0.0,0.0,25.0,13.0,12.0,28.0,0.0,0.0,17.0,9.0,17.0,20.0,18.0,11.0,37.0,9.0,16.0,91.0,95.0,73.0,115.0,140.0,123500,7.0,661.0,70926,466.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,0.0,39.0,9.0,105.0,11.0,700400
13,91800,7/20/16,32.9660092,-117.0777774,7/6/16,Street Light,Street light out on the west side of the street,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AqYiAAK,Closed,"Street Light Light Out at Calvados Place, San Diego, CA, United States",3.0,1,60730170393.0,17039.0,1,1500000US060730170393,60730170393.0,32.9,39.1,29.3,3115.0,2468.0,1463.0,0.0,0.0,789.0,0.0,0.0,216.0,0.0,216.0,647.0,13.0,0.0,0.0,22.0,0.0,21.0,0.0,51.0,0.0,87.0,52.0,174.0,115.0,126.0,201.0,156.0,120526,10.0,1008.0,42202,769.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,42.0,146.0,0.0,595200
28,97288,,32.9504625,-117.250514,8/2/16,Street Light,The light at the corner of El Amigo Rd and Mercado Dr. is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ut3pAAA,Assigned,"Street Light Light Out at 2460 El Amigo Rd, Del Mar, CA, United States",2.0,1,60730083242.0,8324.0,1,1500000US060730083242,60730083242.0,51.5,50.7,52.8,2114.0,1989.0,1831.0,0.0,0.0,82.0,0.0,0.0,76.0,0.0,76.0,125.0,13.0,14.0,15.0,39.0,0.0,26.0,0.0,0.0,0.0,26.0,95.0,88.0,89.0,73.0,196.0,172.0,131607,0.0,846.0,73427,705.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,54.0,46.0,0.0,"1,000,000+"
20,91828,7/27/16,33.025905,-117.084434,7/6/16,Street Light,The light in front of 11492 Oculto Rd is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ArM9AAK,Closed,"Street Light Light Out at 11492 Oculto Road, San Diego, CA, United States",1.0,1,60730170311.0,17031.0,1,1500000US060730170311,60730170311.0,39.3,39.8,38.0,1136.0,1099.0,631.0,0.0,0.0,251.0,120.0,0.0,97.0,0.0,97.0,37.0,10.0,24.0,0.0,24.0,0.0,7.0,0.0,0.0,10.0,8.0,19.0,46.0,46.0,16.0,77.0,73.0,109063,16.0,344.0,53528,320.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,33.0,0.0,445900
55,91834,,32.79549908,-117.0912508,7/6/16,Street Light,Light is out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ArZIAA0,Assigned,"Light Out at GREENBRIER AV & MILLBROOK ST,, 92120",3.0,1,60730096023.0,9602.0,1,1500000US060730096023,60730096023.0,46.3,47.6,42.5,796.0,594.0,563.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,8.0,202.0,0.0,0.0,16.0,10.0,8.0,41.0,36.0,25.0,19.0,19.0,17.0,79.0,16.0,19.0,33.0,7.0,54583,0.0,345.0,33203,246.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,6.0,0.0,69.0,0.0,0.0,400900
20,91841,7/27/16,32.70833072,-117.160103,7/6/16,Street Light,"GASLAMP  OUT ALONG WITH TREE TRINKLE LIGHTS ARE OUT ,",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ArdaAAC,Closed,"Light Out at 238 05TH AV, 92101",1.0,1,60730054001.0,5400.0,1,1500000US060730054001,60730054001.0,51.5,46.9,51.9,631.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,36.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,42.0,23.0,25.0,0.0,46.0,98.0,112.0,153750,0.0,420.0,184088,240.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,119.0,36.0,664300
55,91855,,32.71259,-117.1599806,7/6/16,Street Light,Lamp pole missing make a very dark spot in park. Missing for more than 1 month. Homeless people sit in dark area making me feel unsafe,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ArwHAAS,Assigned,Street Light Light Out at 518?578 W G St,2.0,1,60730053002.0,5300.0,1,1500000US060730053002,60730053002.0,36.5,36.3,38.3,1285.0,1133.0,894.0,29.0,0.0,158.0,0.0,14.0,38.0,0.0,38.0,152.0,153.0,121.0,25.0,26.0,111.0,0.0,33.0,28.0,59.0,24.0,59.0,108.0,65.0,42.0,30.0,34.0,36742,0.0,918.0,42074,13.0,905.0,15.0,0.0,0.0,84.0,0.0,0.0,14.0,39.0,26.0,32.0,0.0,0.0,55.0,14.0,0.0,61.0,0.0,136.0,15.0,363.0,51.0,0.0,-
21,91888,7/28/16,32.81581205,-117.0908232,7/6/16,Street Light,LIGHTS ON WHOLE BLOCK ARE OUT.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AsMyAAK,Closed,"Light Out at 3971 CATAMARCA DR, 92124",2.0,1,60730095092.0,9509.0,1,1500000US060730095092,60730095092.0,53.4,49.4,56.3,1354.0,1347.0,914.0,35.0,41.0,299.0,0.0,0.0,58.0,0.0,58.0,7.0,23.0,40.0,22.0,0.0,65.0,27.0,0.0,8.0,12.0,30.0,0.0,35.0,45.0,97.0,114.0,88.0,114524,0.0,606.0,55061,484.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,65.0,616400
