tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
6200,1,3,,,1500000US060730062001,60730062001,22.6,22.6,-,26,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,26419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6500,1,3,,1.0,1500000US060730065001,60730065001,61.0,58.1,61.7,1065,826,609,85,0,80,26,0,26,0,26,239,88,158,104,67,42,36,8,7,42,13,47,8,16,0,11,0,18877,17,630,19592,49,598,6,0,0,25,0,0,0,0,0,14,21,0,6,8,25,302,146,13,18,8,0,6,189900
6500,2,13,,7.0,1500000US060730065002,60730065002,36.5,38.6,28.9,938,696,503,114,0,43,27,9,0,0,0,242,41,64,28,7,6,78,34,12,13,29,6,51,46,46,27,38,41042,0,526,51061,108,418,0,0,0,0,0,6,0,0,0,6,0,0,0,0,7,42,42,219,20,29,47,0,517000
6500,3,4,,6.0,1500000US060730065003,60730065003,45.4,45.7,35.5,776,592,457,42,15,52,0,0,26,0,26,184,38,11,0,13,0,0,0,0,0,20,52,30,65,11,24,0,74500,4,260,29218,91,173,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,26,20,7,71,42,0,441300
6801,1,1,,,1500000US060730068011,60730068011,37.4,38.4,36.0,2441,2147,1934,25,21,124,0,0,43,0,43,294,7,164,61,198,6,22,13,123,7,65,161,131,154,53,69,20,51912,62,1192,34033,479,775,0,0,0,49,6,0,6,0,8,25,0,28,6,0,0,33,45,149,102,277,28,13,292600
7200,2,9,,22.0,1500000US060730072002,60730072002,40.4,25.3,47.1,3142,2964,2762,33,0,96,0,42,31,0,31,178,60,20,8,28,0,36,19,11,9,66,88,137,54,56,99,286,106806,0,977,57338,834,143,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,104,9,"1,000,000+"
7301,2,2,1.0,5.0,1500000US060730073012,60730073012,34.5,39.9,33.0,1423,1287,1259,0,0,0,0,12,16,0,16,136,34,22,8,30,0,30,24,36,14,143,160,216,151,29,13,0,70956,0,910,45930,74,836,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,57,0,252,274,193,17,29,784900
7301,3,7,,,1500000US060730073013,60730073013,34.6,35.4,31.9,1213,1151,1137,0,0,0,0,0,14,0,14,62,78,21,51,15,10,86,0,12,40,31,73,73,72,87,25,18,60139,0,692,40706,144,548,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,136,166,78,146,13,0,726700
7301,4,1,,1.0,1500000US060730073014,60730073014,30.7,30.8,29.8,685,640,609,0,0,31,0,0,0,0,0,45,0,0,34,35,14,0,23,0,55,19,18,136,47,0,0,12,74792,0,393,49855,48,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,122,67,104,13,10,583300
7400,1,2,,,1500000US060730074001,60730074001,27.3,26.6,27.7,922,762,712,0,0,0,0,0,50,0,50,160,41,54,0,13,13,25,30,46,0,27,50,65,53,13,0,0,42120,13,417,25551,55,375,0,0,0,0,0,0,0,0,0,0,0,0,14,0,42,12,13,101,65,128,0,0,358000
7400,6,1,,,1500000US060730074006,60730074006,44.7,30.8,51.5,1033,933,908,0,0,15,0,0,10,0,10,100,16,17,0,0,0,9,0,0,0,0,25,72,43,49,8,88,123221,17,310,45016,215,112,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,0,26,44,15,717000
7501,4,1,,,1500000US060730075014,60730075014,29.0,27.4,35.9,671,642,602,24,16,0,0,0,0,0,0,29,12,38,14,15,28,24,0,45,32,58,66,31,17,0,0,0,48594,0,380,30198,49,331,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,29,116,81,67,17,0,0,430000
7502,1,6,,,1500000US060730075021,60730075021,36.1,36.6,34.5,850,752,699,0,0,36,0,0,17,0,17,98,10,14,9,8,17,10,38,0,14,33,25,10,91,39,52,41,109583,0,411,53721,110,301,0,0,0,0,0,0,0,0,8,0,0,10,0,9,0,30,28,12,90,58,53,3,694400
7502,2,1,,3.0,1500000US060730075022,60730075022,30.4,34.0,30.1,816,642,577,0,0,13,0,26,26,0,26,174,18,0,8,63,0,8,83,16,39,17,100,60,68,46,7,9,61759,0,542,46664,97,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,168,88,72,17,0,413600
7502,3,1,,2.0,1500000US060730075023,60730075023,30.9,33.3,30.7,1142,1008,946,62,0,0,0,0,0,0,0,134,74,15,34,13,48,52,0,32,23,51,61,88,56,29,7,7,50833,0,590,31955,82,508,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,28,41,150,103,112,45,0,731500
7600,1,31,1.0,12.0,1500000US060730076001,60730076001,44.6,37.0,47.2,691,616,611,0,0,0,0,0,5,0,5,75,0,39,21,0,0,8,11,41,9,59,0,100,15,24,15,0,57375,0,342,34840,153,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,29,72,45,13,9,24400
7600,2,5,,2.0,1500000US060730076002,60730076002,22.2,22.5,21.3,969,954,881,0,0,0,0,0,73,0,73,15,42,0,0,46,23,0,0,28,0,31,15,26,21,30,11,29,56579,0,302,32314,57,245,0,0,0,0,0,0,0,15,0,0,0,0,42,0,0,12,0,61,32,14,69,0,450000
7600,3,19,,13.0,1500000US060730076003,60730076003,49.4,49.5,49.3,616,600,547,21,0,32,0,0,0,0,0,16,54,33,13,23,0,83,14,0,0,28,48,30,13,36,42,18,37054,11,424,48317,83,352,0,0,0,0,0,0,0,0,0,0,0,21,34,0,11,23,99,27,15,88,34,0,919600
7600,5,1,,6.0,1500000US060730076005,60730076005,53.8,60.5,34.5,417,417,417,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,27,54,22,40,94,32,0,0,16,64219,0,309,58603,65,244,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,15,40,93,21,46,7,0,744000
7600,6,5,,4.0,1500000US060730076006,60730076006,31.6,43.7,31.3,549,518,518,0,0,0,0,0,0,0,0,31,65,48,0,14,12,0,13,12,44,22,25,0,21,23,16,53,46136,0,368,48783,139,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,59,0,12,90,12,"1,000,000+"
7600,7,4,,,1500000US060730076007,60730076007,33.0,33.0,31.9,416,416,386,0,0,0,30,0,0,0,0,0,46,0,12,0,0,23,9,0,13,52,0,46,0,13,37,43,52115,0,294,159538,112,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,58,9,75,0,0,878000
7701,1,2,,2.0,1500000US060730077011,60730077011,35.6,44.7,30.1,1280,1234,1208,0,0,26,0,0,0,0,0,46,14,9,10,27,41,37,9,32,10,17,128,197,95,35,50,75,79005,15,771,64870,460,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,92,90,35,42,632900
7701,2,1,,1.0,1500000US060730077012,60730077012,36.3,37.3,35.2,1240,1137,1127,0,10,0,0,0,0,0,0,103,10,42,4,10,0,0,40,0,0,65,68,176,16,6,44,90,78523,0,571,49852,244,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,0,57,43,127,37,0,825000
7702,3,3,,,1500000US060730077023,60730077023,30.1,25.8,33.5,886,701,663,21,0,17,0,0,0,0,0,185,12,0,34,47,18,37,0,0,11,37,33,157,34,0,53,0,78170,0,473,43149,81,392,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,142,29,154,23,19,498300
7800,1,6,,1.0,1500000US060730078001,60730078001,26.4,26.8,24.9,2132,1322,1306,0,0,16,0,0,0,0,0,810,57,0,85,56,50,73,0,55,80,177,158,147,5,13,0,0,50455,0,956,23743,34,922,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,185,85,206,267,43,108,0,-
