tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
2001.0,3.0,36.0,3.0,0.0,2.0,70.0,342663.0,32.7613844,-117.1015355,0.000204282341543,96.1542576135,,783,0.0459770114943,0.0833333333333,0.0,0.0555555555556
6500.0,1.0,97.0,3.0,25.0,4.0,200.0,1811125.0,32.7540326,-117.2088997,0.000110428601008,246.074448979,238.103504655,1065,0.0910798122066,0.0309278350515,0.257731958763,0.0412371134021
10103.0,1.0,10.0,5.0,2.0,0.0,9.0,2267385.0,32.5996184,-117.0958327,3.96933030782e-06,225.771185616,289.232016414,2303,0.00434216239687,0.5,0.2,0.0
7100.0,1.0,18.0,0.0,0.0,0.0,37.0,755377.0,32.7145648,-117.237928,4.89821638731e-05,,,1548,0.0116279069767,0.0,0.0,0.0
8329.0,2.0,5.0,0.0,1.0,0.0,27.0,546016.0,32.9389769,-117.2343781,4.94491003927e-05,,230.933398396,1361,0.00367376928729,0.0,0.2,0.0
8329.0,3.0,3.0,0.0,0.0,0.0,19.0,334474.0,32.9442844,-117.2344082,5.68056111985e-05,,,1819,0.00164925783397,0.0,0.0,0.0
9706.0,2.0,15.0,2.0,1.0,0.0,36.0,576333.0,32.7809015,-117.0588022,6.24638880647e-05,294.068963402,435.916387035,1242,0.012077294686,0.133333333333,0.0666666666667,0.0
202.0,1.0,29.0,1.0,1.0,0.0,67.0,398313.0,32.743901,-117.177338,0.000168209423243,40.229335497,45.9200337579,1295,0.0223938223938,0.0344827586207,0.0344827586207,0.0
202.0,3.0,32.0,1.0,1.0,1.0,66.0,561250.0,32.7451109,-117.1711131,0.000117594654788,14.1458262641,57.9990773636,2329,0.0137398024903,0.03125,0.03125,0.03125
8337.0,3.0,8.0,1.0,0.0,0.0,42.0,502912.0,32.9553442,-117.1368837,8.35136166964e-05,185.246671856,,1723,0.00464306442252,0.125,0.0,0.0
8340.0,3.0,1.0,0.0,0.0,0.0,21.0,377507.0,32.8718309,-117.1999695,5.56281075583e-05,,,2216,0.000451263537906,0.0,0.0,0.0
8340.0,4.0,15.0,0.0,1.0,2.0,54.0,500362.0,32.8678234,-117.2045327,0.00010792186457,,123.615309428,2204,0.0068058076225,0.0,0.0666666666667,0.133333333333
8341.0,2.0,23.0,0.0,0.0,2.0,50.0,474839.0,32.8717691,-117.216157,0.000105298848662,,,5663,0.00406145152746,0.0,0.0,0.0869565217391
8346.0,2.0,5.0,0.0,0.0,2.0,62.0,1816013.0,32.9322708,-117.156419,3.41407247635e-05,,,2012,0.00248508946322,0.0,0.0,0.4
